,cluster,AGE,등록(계/피),고용상태,성별,Willingness to pay/Stay,갱신,상품타입,교육수준,소득,지역,결혼여부,월 납입액,VOC,타 상품 보유 현황,온라인방문빈도,갱신인센티브,판매채널,총지불금액,자동차,거주지사이즈
0,2,3,피보험자,무직,1,2.616381,0,기본,대학졸업,0,도시근교,미혼,80,0,1,자주방문,없음,자사영업,631000,일반세단,소
1,3,1,계약자,고용,0,6.35253,0,기본,고졸이하,102887400,시골,미혼,80,1,4이상,비방문,포인트,인터넷,54000,일반세단,중
2,2,2,계약자,휴직,0,4.974354,0,기본,대학졸업,22159500,도시근교,기혼,60,0,4이상,비방문,할인,자사영업,362000,일반세단,중
3,0,5,계약자,고용,1,13.480284,0,고급,고졸이하,51562500,도시근교,기혼,110,0,2,비방문,할인,자사영업,1264000,컴팩트카,대
4,5,4,계약자,고용,0,9.776436,0,기본,석사,26820200,도시근교,기혼,120,0,3,비방문,없음,대리점,947000,SUV,중
5,1,3,피보험자,고용,0,8.376726,0,기본,고졸이하,61046700,시골,기혼,70,0,2,자주방문,설계사독려,자사영업,3000,컴팩트카,중
6,2,3,계약자,휴직,0,6.02952,0,기본,대학졸업,15756400,도시근교,기혼,70,0,4이상,비방문,할인,콜센터,439000,일반세단,중
7,3,1,계약자,고용,1,3.725382,0,중급,고졸이하,128436000,시골,기혼,90,0,1,비방문,포인트,인터넷,40000,일반세단,중
8,1,3,계약자,고용,1,9.754902,0,기본,대학졸업,56500400,시골,기혼,130,1,4이상,비방문,할인,콜센터,125000,SUV,중
9,2,2,계약자,무직,0,7.396929,0,기본,대학졸업,0,시골,미혼,60,0,2,비방문,할인,대리점,50000,컴팩트카,중
10,2,3,계약자,무직,0,2.864022,1,중급,대학졸업,0,도시근교,미혼,90,3,1,비방문,설계사독려,대리점,519000,일반세단,중
11,3,1,계약자,고용,1,13.275711,0,기본,대학졸업,113402300,시골,기혼,110,2,2,비방문,할인,대리점,151000,스포츠카,중
12,2,3,계약자,무직,1,22.793739,0,중급,고졸이하,0,도시근교,기혼,90,0,2,비방문,설계사독려,자사영업,727000,일반세단,중
13,1,4,피보험자,고용,1,3.962256,0,중급,고졸이하,41439200,도시근교,기혼,100,0,1,자주방문,없음,자사영업,551000,일반세단,중
14,1,3,계약자,고용,1,10.573194,1,기본,대학졸업,49248100,시골,기혼,60,0,2,비방문,할인,자사영업,159000,일반세단,중
15,2,2,계약자,무직,0,5.297364,0,기본,대학졸업,0,도시근교,미혼,70,0,3,비방문,할인,대리점,409000,일반세단,중
16,6,3,계약자,무직,0,8.161386,0,기본,고졸이하,0,도시근교,미혼,110,0,4이상,비방문,설계사독려,콜센터,1047000,스포츠카,중
17,1,4,계약자,고용,0,2.896323,0,기본,대학졸업,76887800,시골,기혼,70,0,1,비방문,설계사독려,콜센터,114000,일반세단,중
18,2,3,계약자,무직,0,4.446771,0,기본,대학졸업,0,도시근교,미혼,60,1,3,비방문,할인,대리점,560000,일반세단,중
19,3,1,계약자,고용,1,9.281154,1,기본,대학졸업,128698900,도시근교,미혼,70,0,2,비방문,할인,대리점,433000,일반세단,중
20,6,5,계약자,고용,1,16.419675,0,기본,고졸이하,68654300,도심,기혼,230,0,4이상,비방문,없음,인터넷,1050000,고급차,소
21,3,2,계약자,고용,0,4.608276,0,기본,대학졸업,100357400,도시근교,기혼,120,0,1,비방문,포인트,대리점,753000,SUV,중
22,4,1,계약자,고용,0,21.64167,1,기본,고졸이하,122624700,도시근교,기혼,80,0,2,비방문,설계사독려,대리점,468000,컴팩트카,대
23,2,3,계약자,휴직,0,5.135859,1,기본,대학졸업,17136900,도시근교,미혼,70,0,4이상,비방문,할인,인터넷,448000,컴팩트카,중
24,1,4,피보험자,고용,0,7.569201,0,중급,대학졸업,63604200,도시근교,기혼,90,0,3,자주방문,포인트,대리점,522000,일반세단,중
25,2,3,피보험자,무직,0,8.904309,0,중급,대학졸업,0,도시근교,미혼,80,0,2,자주방문,설계사독려,대리점,685000,컴팩트카,소
26,4,3,계약자,무직,1,26.432985,0,기본,고졸이하,0,도시근교,기혼,130,1,2,비방문,할인,자사영업,1194000,SUV,대
27,1,5,피보험자,고용,1,4.748247,0,기본,고졸이하,87444500,도시근교,기혼,120,0,1,자주방문,설계사독려,콜센터,658000,SUV,중
28,1,3,계약자,고용,1,2.670216,0,기본,고졸이하,41100400,도심,미혼,60,0,1,비방문,포인트,자사영업,340000,일반세단,중
29,2,3,계약자,무직,0,4.156062,0,기본,고졸이하,0,도시근교,기혼,110,1,1,비방문,포인트,대리점,634000,SUV,중
30,6,3,계약자,무직,0,12.457419,0,고급,고졸이하,0,도시근교,미혼,190,0,4이상,종종,할인,대리점,1476000,스포츠카,중
31,2,4,계약자,휴직,0,3.929955,0,중급,대학졸업,25275800,도시근교,기혼,100,0,1,비방문,설계사독려,대리점,1130000,일반세단,소
32,2,3,계약자,무직,1,4.694412,0,기본,대학졸업,0,도시근교,미혼,70,0,3,비방문,포인트,인터넷,578000,일반세단,중
33,3,2,계약자,고용,0,11.229981,0,중급,고졸이하,90631200,도심,기혼,150,1,3,비방문,없음,콜센터,432000,SUV,소
34,1,3,계약자,고용,1,7.569201,0,중급,고졸이하,32684300,시골,미혼,100,1,4이상,비방문,할인,콜센터,186000,일반세단,중
35,2,3,계약자,무직,0,7.956813,0,중급,대학졸업,0,도시근교,기혼,110,0,3,비방문,없음,콜센터,788000,일반세단,중
36,1,3,계약자,고용,1,3.154731,0,기본,대학졸업,68725800,시골,기혼,70,0,1,비방문,설계사독려,인터넷,154000,일반세단,중
